식품명,단백질(g),지방(g),탄수화물(g),당류(g),에너지(kcal)
국밥_돼지머리,6.7,5.16,15.94,0.16,137
국밥_순대국밥,3.17,2.28,10.38,0.17,75
국밥_콩나물,1.45,0.24,10.93,0,52
기장밥,3.44,0.57,36.77,0,166
김밥,4.84,4.55,19.98,0,140
김밥_김치,4.3,4.03,19.17,0.29,130
김밥_날치알,6.1,4.26,28.66,1.43,177
김밥_돈가스,5.77,5.81,31.64,1.33,202
김밥_소고기,6.46,5.56,25.78,0.03,179
김밥_참치,7,7.22,20.26,0.71,174
김밥_채소,4.6,3.65,26.65,0.14,158
김밥_치즈,6.24,7.03,22.1,0.21,177
김밥_풋고추,4.88,4.41,27.52,0.09,169
덮밥_낙지,5.88,3.34,24.12,2.16,150
덮밥_닭고기,11.4,2.18,14.82,1.07,125
덮밥_돼지고기(제육),9.43,10.77,16.86,1.98,202
덮밥_불고기,6.6,5.31,26.96,0.07,182
덮밥_오징어,7.18,2.01,21.94,0.66,135
보리밥,2.9,0.24,36.77,2.57,161
볶음밥,5.56,2.76,33.97,0,183
볶음밥_계란,6.62,11.28,24.23,0.17,225
볶음밥_김치,5.32,9.18,15.74,13.89,167
볶음밥_새우,6.31,6.14,22.85,0.71,172
볶음밥_소고기,7.59,6.48,21.76,0.08,176
볶음밥_참치,4.62,3.27,32.9,0.12,180
볶음밥_채소,4.72,5.39,28.74,0.29,182
볶음밥_표고버섯,3.36,4.81,31.79,0,184
비빔밥,6.86,4.32,18.84,0.05,142
비빔밥_돌솥,5.39,2.95,24.68,1.24,147
비빔밥_육회,6.39,3.36,22.92,4.45,147
삼각김밥_참치마요네즈,5.93,8.21,25.45,0,199
수수밥,3.16,0.92,35.02,0.08,161
알밥,4.73,5.11,15.75,2.3,128
영양돌솥밥,3.43,2.87,36.06,0.63,184
오므라이스,6.5,7.23,20.54,3.19,173
자장밥,4.27,4.72,15.57,0.03,122
잡곡밥,5.3,0.87,29.33,0.32,146
잡채밥,4.02,3.42,25.79,0.05,150
주먹밥_소고기,4.76,2.18,34.73,0.23,178
짬뽕밥,3.2,1.4,11.65,1.34,72
차조밥,2.84,0.65,34.86,0.04,157
찰밥,4.39,0.18,33.56,0.49,153
초밥_모듬,9.66,1.59,26.72,1.4,160
초밥_유부초밥,5.78,5.77,29.82,1.99,194
카레라이스,3.11,1.4,20.74,0.16,108
콩나물밥,4.68,1.58,22.39,0.04,123
콩밥_검정콩,4.53,1.12,34.3,0,165
콩밥_완두콩,2.95,0.16,31.25,0,138
하이라이스,4.02,1.13,21.34,0,112
현미밥,3.1,0.47,38.9,0,172
회덮밥_모듬,9.1,4.15,17.76,3.07,145
가래떡,3.92,0.51,43.73,0,195
경단_깨,6.28,6.72,38.58,0.61,240
꿀떡,3.74,1.73,49.48,0.29,228
모듬찰떡,6.78,2.44,42.27,2.98,218
백설기,3.71,1.45,50.4,0.11,230
송편_깨,4.65,3.23,42.83,1.98,219
시루떡,3.77,1.85,48.13,0.04,224
약식,4.21,2.45,45.24,13.24,220
인절미,5.64,2.16,50.07,6.35,242
절편_쑥,7.72,2.42,34.87,0.25,192
증편,3.17,1.2,44.15,3.19,200
찹쌀떡_팥,5.06,2.53,62.93,25.95,295
도넛_링도넛,7.85,33.17,46.16,11.6,515
도넛_찹쌀,6,4.64,55.56,11.04,288
마늘빵,12.06,17.58,57.94,7.36,438
머핀,5.73,13.84,59.15,39.65,384
모닝빵,9.5,7.43,52.17,7.97,314
모카빵,8.55,8.05,57.96,12.53,339
베이글,10,5.83,53.48,4.58,306
샌드위치_닭가슴살,12.18,11.92,20.96,3.09,240
샌드위치_모듬,9.5,13.44,8.44,0.6,193
샌드위치_참치,10.54,11.65,13.78,1.38,202
샌드위치_채소,4.08,14.75,23.82,14.26,244
샌드위치_햄_달걀,12.44,11.92,15.64,1.9,220
소보로빵,8.27,15.13,55.63,16.69,392
식빵,9.34,2.6,50.91,1.56,264
초코소라빵,3.29,10.93,51.76,9.29,319
츄러스,6.6,11.29,58.17,22.73,361
카스텔라,10.03,11.47,47.99,33.77,335
케이크_롤케이크,7.36,11.83,44.01,24.64,312
케이크_생크림케이크,3.45,12.54,27.62,14.49,237
크로와상,7.52,26.98,43.31,6.1,446
파이/만주_사과파이,2.54,3.91,34.83,7.11,185
페이스트리,8.31,29.66,41.5,6.43,466
피자_콤비네이션피자,10.68,14.36,25.54,4.85,274
피자빵,8.85,15.05,31.76,8.11,298
햄버거,12.85,13.98,21.67,3.13,264
햄버거_불고기버거,13.88,11.52,22.68,0.13,250
호떡_견과류,5.41,7.07,57.12,0.73,314
간자장,5.12,4.89,15.13,0.86,125
국수_막국수,5.8,1.61,23.9,4.88,133
국수_비빔국수,3.01,0.95,20.47,4.11,102
국수_잔치국수,1.93,0.49,8.05,0.04,44
국수_쟁반막국수,6.68,4.56,12.81,8.12,119
냉면_물냉면,1.96,0.64,10.31,4.52,55
냉면_비빔냉면,5.67,2.64,13.35,4.02,100
냉면_회냉면_홍어,5.81,4.02,22.21,2.84,148
떡국,3.43,0.53,16.37,0.08,84
떡만두국,3.53,3.91,15.47,0.01,111
라면,1.72,2.28,13.65,0,82
라면_달걀,2.61,3.18,17.33,0.18,108
라면_떡,2.04,2.92,15.27,0,96
만두_고기만두,12.38,4.45,17.4,0.16,159
만두_군만두,7.03,11.5,25.57,2.77,234
만두_김치만두,10.24,4.76,17.02,0.35,152
만두_물만두,8.06,11.13,15.61,2.13,195
만두국_사골,3.74,4,8.94,0.06,87
메밀국수_온면,3.14,0.29,12.06,0,63
수제비,2.31,0.52,11.08,0,58
스파게티_미트볼,7.34,8.88,17.62,0.89,180
우동_일식,1.78,3.22,30.48,0.02,158
우동볶음,2.8,2.01,24.79,0.43,128
