식품명,단백질(g),지방(g),탄수화물(g),당류(g),에너지(kcal)
"귀리, 겉귀리, 도정, 생것",11.40,7.35,67.71,0.32,380
"귀리, 쌀귀리, 도정, 생것",11.14,8.90,66.66,0.91,388
"귀리, 쌀귀리, 대양, 도정, 생것",11.51,8.78,66.10,0.91,386
"귀리, 쌀귀리, 조양, 도정, 생것",10.78,9.01,67.23,0.91,390
"귀리, 쌀귀리, 도정, 밥",6.51,5.36,36.54,0.42,218
"귀리, 쌀귀리, 대양, 도정, 밥",6.71,5.13,36.09,0.43,215
"귀리, 쌀귀리, 조양, 도정, 밥",6.31,5.59,36.98,0.41,221
"귀리, 오트밀",13.2,8.2,64.9,-,382
"기장, 도정, 생것",11.2,1.9,74.6,-,360
"기장, 찰기장, 도정, 생것",13.63,3.77,69.65,0.46,371
"기장, 찰기장, 이백찰, 도정, 생것",13.72,4.03,69.49,0.61,373
"기장, 찰기장, 한라찰, 도정, 생것",12.80,4.35,69.78,0.61,373
"기장, 찰기장, 황실찰, 도정, 생것",15.55,3.62,67.42,0.61,368
"메밀, 도정, 생것",13.64,3.38,67.84,0.30,363
"메밀, 도정, 가루",12.96,3.29,71.36,0.30,374
"메밀 국수, 생것",7.59,0.96,61.14,0,291
"메밀 국수, 생것, 삶은것",3.54,0.44,25.73,0,124
"메밀 국수, 말린것",13.58,1.27,74.41,2.77,372
"메밀 국수, 말린것, 삶은것",4.28,0.40,22.65,0,114
"메밀 냉면, 말린것",10.74,1.44,73.66,0,360
"메밀 냉면, 말린것, 삶은것",4.22,0.59,28.71,0,141
메밀묵,0.86,0.23,12.80,0,58
"메밀묵, 가루",8.33,2.04,77.39,0.30,371
"멥쌀, 배아미, 생것",6.5,2.0,75.8,0.6,343
"멥쌀, 백미, 생것",6.81,1.05,78.74,0.50,366
"멥쌀, 백미, 고아미2호, 생것",8.40,2.04,74.30,1.81,362
"멥쌀, 백미, 골든퀸3호, 생것",6.07,0.67,77.23,0.03,354
"멥쌀, 백미, 금강1호, 생것",6.69,1.10,79.46,0.82,369
"멥쌀, 백미, 남찬, 생것",6.85,1.34,78.14,0.89,366
"멥쌀, 백미, 도담쌀, 생것",6.97,1.14,76.91,0.31,360
"멥쌀, 백미, 미품, 생것",7.77,0.81,76.89,0.18,361
"멥쌀, 백미, 보람찬, 생것",7.16,1.53,78.36,0.46,370
"멥쌀, 백미, 삼광, 생것",6.31,0.90,79.71,0.16,367
"멥쌀, 백미, 새일미, 생것",6.92,1.04,78.57,0.15,366
"멥쌀, 백미, 새추청벼, 생것",6.1,0.2,80.9,-,366
"멥쌀, 백미, 설갱, 생것",6.71,1.04,78.14,0.37,363
"멥쌀, 백미, 수라벼, 생것",5.7,0.1,76.7,-,346
"멥쌀, 백미, 신동진, 생것",6.06,1.09,78.01,0.09,361
"멥쌀, 백미, 알찬미, 생것",6.02,1.57,80.36,1.03,374
"멥쌀, 백미, 영호진미, 생것",5.72,1.54,79.87,0.81,371
"멥쌀, 백미, 예찬, 생것",6.60,0.75,78.78,0.76,363
"멥쌀, 백미, 오대, 생것",7.38,0.93,79.46,0.47,371
"멥쌀, 백미, 운광, 생것",6.20,0.99,79.10,0.22,365
"멥쌀, 백미, 일미벼, 생것",7.7,1.0,79.3,-,372
"멥쌀, 백미, 일품, 생것",7.06,1.12,78.52,0.43,367
"멥쌀, 백미, 일품벼, 생것",5.7,0.1,78.5,-,353
"멥쌀, 백미, 추청벼, 생것",6.7,0.6,81.4,-,373
"멥쌀, 백미, 친들, 생것",6.43,0.77,79.09,0.79,364
"멥쌀, 백미, 큰눈벼, 생것",6.3,1.0,81.4,-,375
"멥쌀, 백미, 통일벼, 생것",8.3,0.6,80.3,-,375
"멥쌀, 백미, 팔방미, 생것",8.33,0.94,77.32,0.10,366
"멥쌀, 백미, 하이아미, 생것",7.35,1.05,78.46,0.43,367
"멥쌀, 백미, 한가루, 생것",7.11,1.05,80.03,1.42,373
"멥쌀, 백미, 한아름4호, 생것",7.13,0.88,79.30,1.06,369
"멥쌀, 백미, 해담쌀, 생것",6.65,0.93,80.24,1.17,371
"멥쌀, 백미, 해들, 생것",7.33,1.34,77.39,0.38,365
"멥쌀, 백미, 해품, 생것",8.23,0.56,77.30,0.09,362
"멥쌀, 백미, 향미벼, 생것",7.0,0.6,79.9,-,368
"멥쌀, 백미, 호품벼, 생것",5.91,0.73,77.21,0.04,354
"멥쌀, 백미, 히토메보레, 생것",6.5,0.3,80.0,-,364
"멥쌀, 백미, 밭벼, 생것",9.3,0.9,74.5,-0.3,331
"멥쌀, 백미, 밥",2.65,0.33,31.71,0.01,146
"멥쌀, 백미, 농림나1호, 밥",2.2,0.1,48.5,-,213
"멥쌀, 백미, 밭벼, 밥",3.5,0.3,36.1,-0.1,157
"멥쌀, 백미, 삼광, 밥",2.52,0.33,31.71,0,146
"멥쌀, 백미, 새일미, 밥",2.67,0.25,30.69,0,142
"멥쌀, 백미, 새추청벼, 밥",2.5,0.1,33.8,-,153
