식품명,조리상태,에너지(kcal),탄수화물(g),단백질(g),지방(g),당류(g)
귀리,생것,380,67.71,11.4,7.35,0.32
귀리,밥,218,36.54,6.51,5.36,0.42
귀리,오트밀,382,64.9,13.2,8.2,0.0
기장,생것,360,74.6,11.2,1.9,0.0
메밀,생것,363,67.84,13.64,3.38,0.3
메밀,가루,374,71.36,12.96,3.29,0.3
메밀 국수,생것,291,61.14,7.59,0.96,0.0
메밀 국수,삶은것,124,25.73,3.54,0.44,0.0
메밀 국수,말린것,372,74.41,13.58,1.27,2.77
메밀 냉면,말린것,360,73.66,10.74,1.44,0.0
메밀 냉면,삶은것,141,28.71,4.22,0.59,0.0
메밀묵,-,58,12.8,0.86,0.23,0.0
메밀묵,가루,371,77.39,8.33,2.04,0.3
멥쌀,생것,343,75.8,6.5,2.0,0.6
멥쌀,밥,146,31.71,2.65,0.33,0.01
멥쌀,죽,53,11.45,0.99,0.15,0.0
멥쌀,가루,343,78.5,6.2,0.9,0.1
멥쌀밥,쪄서 말린것,373,83.7,5.2,0.1,0.0
누룽지,-,393,86.8,6.8,0.2,0.0
즉석밥,누룽지,415,90.98,6.64,0.84,1.14
즉석밥,끓는물 부음,69,15.06,1.32,0.1,1.15
즉석밥,백미,152,33.59,2.11,0.28,1.04
즉석밥,잡곡밥,150,33.76,2.83,0.38,0.03
멥쌀 과자,-,469,78.2,3.2,15.9,0.0
멥쌀 과자,팽화,395,89.96,4.11,2.13,29.97
멥쌀 국수,말린것,340,72.6,9.1,1.5,0.0
멥쌀떡,가래떡,213,48.8,3.71,0.37,0.09
멥쌀떡,흑미,205,47.8,3.5,0.0,0.0
멥쌀떡,개피떡,207,45.6,4.3,0.8,0.0
멥쌀떡,쑥,206,45.2,4.5,0.8,0.0
멥쌀떡,꿀떡,210,46.14,3.09,1.46,7.39
멥쌀떡,무지개떡,229,53.0,3.5,0.3,0.0
멥쌀떡,백설기,245,53.45,3.99,0.52,9.61
멥쌀떡,검정콩,229,48.31,5.75,1.46,2.07
멥쌀떡,팥,200,43.6,5.4,0.4,0.0
멥쌀떡,깨,224,44.01,5.9,2.74,6.44
멥쌀떡,동부,190,40.29,5.65,0.66,3.18
멥쌀떡,절편,215,49.04,3.69,0.49,0.1
멥쌀떡,증편,195,44.66,3.02,0.43,8.74
미숫가루,혼합곡물,398,76.17,14.52,5.48,1.06
밀,생것,333,75.8,10.6,1.0,0.0
밀,말린것,334,71.16,13.74,1.91,4.37
밀,강력밀가루,334,72.89,13.59,1.11,0.0
